2023-11-24 15:42:32 [INFO ] env=racetrack-v0
2023-11-24 15:42:32 [INFO ] state_dim=968
2023-11-24 15:42:32 [INFO ] action_dim=1
2023-11-24 15:42:32 [INFO ] max_action=1.0
2023-11-24 15:43:16 [INFO ] total_steps: 3146, episode reward: [2.911437086734879], time_used: 43
2023-11-24 15:43:16 [INFO ] total_steps: 3176, episode reward: [2.1061902668905077], time_used: 43
2023-11-24 15:43:16 [INFO ] total_steps: 3206, episode reward: [1.546324551282635], time_used: 44
2023-11-24 15:43:17 [INFO ] total_steps: 3236, episode reward: [1.7488670764676553], time_used: 44
2023-11-24 15:43:17 [INFO ] total_steps: 3266, episode reward: [1.9749229104038089], time_used: 44
2023-11-24 15:43:18 [INFO ] total_steps: 3296, episode reward: [1.9010775549387577], time_used: 45
2023-11-24 15:43:18 [INFO ] total_steps: 3326, episode reward: [3.1486518004308457], time_used: 45
2023-11-24 15:43:19 [INFO ] total_steps: 3356, episode reward: [1.0553140003125803], time_used: 46
2023-11-24 15:43:19 [INFO ] total_steps: 3386, episode reward: [0.9907876876904954], time_used: 46
2023-11-24 15:43:19 [INFO ] total_steps: 3404, episode reward: [1.7139403575668928], time_used: 46
2023-11-24 15:43:20 [INFO ] total_steps: 3434, episode reward: [2.8801557063953536], time_used: 47
2023-11-24 15:43:20 [INFO ] total_steps: 3464, episode reward: [0.6941831491190651], time_used: 47
2023-11-24 15:43:21 [INFO ] total_steps: 3494, episode reward: [3.503318185692361], time_used: 48
2023-11-24 15:43:21 [INFO ] total_steps: 3524, episode reward: [1.4661674167204417], time_used: 48
2023-11-24 15:43:21 [INFO ] total_steps: 3554, episode reward: [6.889688699580446], time_used: 48
2023-11-24 15:43:22 [INFO ] total_steps: 3584, episode reward: [1.2056917869011148], time_used: 49
2023-11-24 15:43:22 [INFO ] total_steps: 3614, episode reward: [2.749695428153865], time_used: 49
2023-11-24 15:43:23 [INFO ] total_steps: 3644, episode reward: [3.5563161392271425], time_used: 50
2023-11-24 15:43:23 [INFO ] total_steps: 3674, episode reward: [0.0], time_used: 50
2023-11-24 15:43:24 [INFO ] total_steps: 3704, episode reward: [1.101351073261879], time_used: 51
2023-11-24 15:43:24 [INFO ] total_steps: 3734, episode reward: [2.2383108572701964], time_used: 51
2023-11-24 15:43:24 [INFO ] total_steps: 3764, episode reward: [1.776844056987375], time_used: 51
2023-11-24 15:43:25 [INFO ] total_steps: 3794, episode reward: [1.0823147299810478], time_used: 52
2023-11-24 15:43:25 [INFO ] total_steps: 3824, episode reward: [5.892618530495684], time_used: 52
2023-11-24 15:43:26 [INFO ] total_steps: 3854, episode reward: [5.557660060834064], time_used: 53
2023-11-24 15:43:26 [INFO ] total_steps: 3884, episode reward: [0.43076252908624335], time_used: 53
2023-11-24 15:43:27 [INFO ] total_steps: 3914, episode reward: [0.0], time_used: 54
2023-11-24 15:43:27 [INFO ] total_steps: 3944, episode reward: [5.640502864920727], time_used: 54
2023-11-24 15:43:27 [INFO ] total_steps: 3974, episode reward: [2.5150118976861746], time_used: 54
2023-11-24 15:43:28 [INFO ] total_steps: 4004, episode reward: [0.0], time_used: 55
2023-11-24 15:43:28 [INFO ] total_steps: 4034, episode reward: [2.9487768069146942], time_used: 55
2023-11-24 15:43:29 [INFO ] total_steps: 4064, episode reward: [0.7420982510312776], time_used: 56
2023-11-24 15:43:29 [INFO ] total_steps: 4094, episode reward: [1.40907814703562], time_used: 56
2023-11-24 15:43:30 [INFO ] total_steps: 4124, episode reward: [0.0], time_used: 57
2023-11-24 15:43:30 [INFO ] total_steps: 4154, episode reward: [0.5396810610674284], time_used: 57
2023-11-24 15:43:30 [INFO ] total_steps: 4184, episode reward: [0.0], time_used: 57
2023-11-24 15:43:31 [INFO ] total_steps: 4214, episode reward: [0.9201572128856201], time_used: 58
2023-11-24 15:43:31 [INFO ] total_steps: 4244, episode reward: [0.5349959541693358], time_used: 58
2023-11-24 15:43:32 [INFO ] total_steps: 4274, episode reward: [1.7608341822397433], time_used: 59
2023-11-24 15:43:32 [INFO ] total_steps: 4304, episode reward: [2.274919426514788], time_used: 59
2023-11-24 15:43:32 [INFO ] total_steps: 4334, episode reward: [1.9919947486208731], time_used: 59
2023-11-24 15:43:33 [INFO ] total_steps: 4364, episode reward: [2.6485668546045598], time_used: 60
2023-11-24 15:43:33 [INFO ] total_steps: 4394, episode reward: [0.0], time_used: 60
2023-11-24 15:43:33 [INFO ] total_steps: 4399, episode reward: [2.2803124856589556], time_used: 60
2023-11-24 15:43:34 [INFO ] total_steps: 4429, episode reward: [0.0], time_used: 61
2023-11-24 15:43:34 [INFO ] total_steps: 4459, episode reward: [2.75694797112123], time_used: 61
2023-11-24 15:43:35 [INFO ] total_steps: 4489, episode reward: [0.8875713455092004], time_used: 62
2023-11-24 15:43:35 [INFO ] total_steps: 4519, episode reward: [2.0549920229308682], time_used: 62
2023-11-24 15:43:35 [INFO ] total_steps: 4549, episode reward: [0.5085091687352119], time_used: 62
2023-11-24 15:43:36 [INFO ] total_steps: 4579, episode reward: [2.0888722364621906], time_used: 63
2023-11-24 15:43:36 [INFO ] total_steps: 4609, episode reward: [1.0052223760535868], time_used: 63
2023-11-24 15:43:37 [INFO ] total_steps: 4639, episode reward: [2.8777986266228375], time_used: 64
